Filename,Path,Size (KB)
2652.jpg,Acne Dataset\2652.jpg,38.79
2653.jpg,Acne Dataset\2653.jpg,77.6
2661.jpg,Acne Dataset\2661.jpg,45.76
3014.jpg,Acne Dataset\3014.jpg,72.61
3015.jpg,Acne Dataset\3015.jpg,71.86
3025.jpg,Acne Dataset\3025.jpg,45.77
3027.jpg,Acne Dataset\3027.jpg,29.9
3030.jpg,Acne Dataset\3030.jpg,33.04
3402.jpg,Acne Dataset\3402.jpg,37.59
3403.jpg,Acne Dataset\3403.jpg,35.19
3404.jpg,Acne Dataset\3404.jpg,29.91
3405.jpg,Acne Dataset\3405.jpg,34.96
3406.jpg,Acne Dataset\3406.jpg,32.8
3407.jpg,Acne Dataset\3407.jpg,51.54
3408.jpg,Acne Dataset\3408.jpg,57.89
3409.jpg,Acne Dataset\3409.jpg,53.7
3410.jpg,Acne Dataset\3410.jpg,49.35
3411.jpg,Acne Dataset\3411.jpg,49.48
3412.jpg,Acne Dataset\3412.jpg,30.13
3414.jpg,Acne Dataset\3414.jpg,41.3
3415.jpg,Acne Dataset\3415.jpg,35.22
3416.jpg,Acne Dataset\3416.jpg,27.46
3417.jpg,Acne Dataset\3417.jpg,31.14
3418.jpg,Acne Dataset\3418.jpg,30.42
3419.jpg,Acne Dataset\3419.jpg,30.65
3420.jpg,Acne Dataset\3420.jpg,37.21
3421.jpg,Acne Dataset\3421.jpg,31.92
3422.jpg,Acne Dataset\3422.jpg,35.66
3423.jpg,Acne Dataset\3423.jpg,31.73
3424.jpg,Acne Dataset\3424.jpg,43.04
3425.jpg,Acne Dataset\3425.jpg,33.6
3426.jpg,Acne Dataset\3426.jpg,29.42
3427.jpg,Acne Dataset\3427.jpg,25.82
3428.jpg,Acne Dataset\3428.jpg,38.92
3429.jpg,Acne Dataset\3429.jpg,39.78
3430.jpg,Acne Dataset\3430.jpg,35.85
3432.jpg,Acne Dataset\3432.jpg,38.89
3433.jpg,Acne Dataset\3433.jpg,39.36
3434.jpg,Acne Dataset\3434.jpg,41.61
3602.jpg,Acne Dataset\3602.jpg,30.02
3604.jpg,Acne Dataset\3604.jpg,28.78
3605.jpg,Acne Dataset\3605.jpg,32.55
3606.jpg,Acne Dataset\3606.jpg,34.14
3607.jpg,Acne Dataset\3607.jpg,30.29
3608.jpg,Acne Dataset\3608.jpg,26.83
3609.jpg,Acne Dataset\3609.jpg,37.94
3610.jpg,Acne Dataset\3610.jpg,41.71
3611.jpg,Acne Dataset\3611.jpg,30.66
3612.jpg,Acne Dataset\3612.jpg,31.56
3613.jpg,Acne Dataset\3613.jpg,43.61
3614.jpg,Acne Dataset\3614.jpg,34.91
3615.jpg,Acne Dataset\3615.jpg,26.22
3617.jpg,Acne Dataset\3617.jpg,58.56
3619.jpg,Acne Dataset\3619.jpg,41.56
3620.jpg,Acne Dataset\3620.jpg,35.59
3622.jpg,Acne Dataset\3622.jpg,41.36
3623.jpg,Acne Dataset\3623.jpg,36.06
3624.jpg,Acne Dataset\3624.jpg,40.7
3625.jpg,Acne Dataset\3625.jpg,31.88
3626.jpg,Acne Dataset\3626.jpg,72.78
3627.jpg,Acne Dataset\3627.jpg,34.09
3628.jpg,Acne Dataset\3628.jpg,45.87
3629.jpg,Acne Dataset\3629.jpg,39.42
3630.jpg,Acne Dataset\3630.jpg,33.6
3631.jpg,Acne Dataset\3631.jpg,54.61
3632.jpg,Acne Dataset\3632.jpg,35.39
3633.jpg,Acne Dataset\3633.jpg,51.36
3634.jpg,Acne Dataset\3634.jpg,32.97
3635.jpg,Acne Dataset\3635.jpg,29.91
3636.jpg,Acne Dataset\3636.jpg,55.33
3637.jpg,Acne Dataset\3637.jpg,59.08
3638.jpg,Acne Dataset\3638.jpg,31.47
3639.jpg,Acne Dataset\3639.jpg,36.67
3640.jpg,Acne Dataset\3640.jpg,47.76
62-acne.jpg,Acne Dataset\62-acne.jpg,47.96
acne 098.jpeg,Acne Dataset\acne 098.jpeg,9.49
acne 230.jpeg,Acne Dataset\acne 230.jpeg,11.11
acne 456.jpeg,Acne Dataset\acne 456.jpeg,11.12
acne 608.jpeg,Acne Dataset\acne 608.jpeg,10.62
acne-face-1 (1).jpg,Acne Dataset\acne-face-1 (1).jpg,56.12
acne-face-1-10 (1).jpg,Acne Dataset\acne-face-1-10 (1).jpg,34.34
acne-face-1-10.jpg,Acne Dataset\acne-face-1-10.jpg,34.34
acne-face-1-11 (1).jpg,Acne Dataset\acne-face-1-11 (1).jpg,32.13
acne-face-1-11.jpg,Acne Dataset\acne-face-1-11.jpg,32.13
acne-face-1-12 (1).jpg,Acne Dataset\acne-face-1-12 (1).jpg,51.13
acne-face-1-12.jpg,Acne Dataset\acne-face-1-12.jpg,51.13
acne-face-1-13 (1).jpg,Acne Dataset\acne-face-1-13 (1).jpg,38.67
acne-face-1-13.jpg,Acne Dataset\acne-face-1-13.jpg,38.67
acne-face-1-14 (1).jpg,Acne Dataset\acne-face-1-14 (1).jpg,27.17
acne-face-1-14.jpg,Acne Dataset\acne-face-1-14.jpg,27.17
acne-face-1-16 (1).jpg,Acne Dataset\acne-face-1-16 (1).jpg,50.43
acne-face-1-16.jpg,Acne Dataset\acne-face-1-16.jpg,50.43
acne-face-1-17 (1).jpg,Acne Dataset\acne-face-1-17 (1).jpg,54.68
acne-face-1-17.jpg,Acne Dataset\acne-face-1-17.jpg,54.68
acne-face-1-18 (1).jpg,Acne Dataset\acne-face-1-18 (1).jpg,25.3
acne-face-1-18.jpg,Acne Dataset\acne-face-1-18.jpg,25.3
acne-face-1-2 (1).jpg,Acne Dataset\acne-face-1-2 (1).jpg,40.12
acne-face-1-2.jpg,Acne Dataset\acne-face-1-2.jpg,40.12
acne-face-1-20 (1).jpg,Acne Dataset\acne-face-1-20 (1).jpg,31.92
acne-face-1-20.jpg,Acne Dataset\acne-face-1-20.jpg,31.92
acne-face-1-21.jpg,Acne Dataset\acne-face-1-21.jpg,34.87
acne-face-1-22.jpg,Acne Dataset\acne-face-1-22.jpg,36.19
acne-face-1-23.jpg,Acne Dataset\acne-face-1-23.jpg,32.25
acne-face-1-25.jpg,Acne Dataset\acne-face-1-25.jpg,36.56
acne-face-1-26.jpg,Acne Dataset\acne-face-1-26.jpg,30.26
acne-face-1-27.jpg,Acne Dataset\acne-face-1-27.jpg,39.3
acne-face-1-28.jpg,Acne Dataset\acne-face-1-28.jpg,48.76
acne-face-1-29.jpg,Acne Dataset\acne-face-1-29.jpg,26.38
acne-face-1-30.jpg,Acne Dataset\acne-face-1-30.jpg,36.5
acne-face-1-31.jpg,Acne Dataset\acne-face-1-31.jpg,36.21
acne-face-1-33.jpg,Acne Dataset\acne-face-1-33.jpg,57.58
acne-face-1-34.jpg,Acne Dataset\acne-face-1-34.jpg,52.41
acne-face-1-35.jpg,Acne Dataset\acne-face-1-35.jpg,34.14
acne-face-1-36.jpg,Acne Dataset\acne-face-1-36.jpg,33.92
acne-face-1-38.jpg,Acne Dataset\acne-face-1-38.jpg,34.75
acne-face-1-39.jpg,Acne Dataset\acne-face-1-39.jpg,30.4
acne-face-1-4 (1).jpg,Acne Dataset\acne-face-1-4 (1).jpg,40.95
acne-face-1-4.jpg,Acne Dataset\acne-face-1-4.jpg,40.95
acne-face-1-42 (1).jpg,Acne Dataset\acne-face-1-42 (1).jpg,50.5
acne-face-1-42.jpg,Acne Dataset\acne-face-1-42.jpg,50.5
acne-face-1-44.jpg,Acne Dataset\acne-face-1-44.jpg,31.59
acne-face-1-45.jpg,Acne Dataset\acne-face-1-45.jpg,32.4
acne-face-1-46.jpg,Acne Dataset\acne-face-1-46.jpg,36.29
acne-face-1-47.jpg,Acne Dataset\acne-face-1-47.jpg,33.31
acne-face-1-48.jpg,Acne Dataset\acne-face-1-48.jpg,39.52
acne-face-1-49.jpg,Acne Dataset\acne-face-1-49.jpg,32.09
acne-face-1-5 (1).jpg,Acne Dataset\acne-face-1-5 (1).jpg,33.52
