Filename,Path,Size (KB)
1-Vitiligo-Confetti-WM_v2.jpg,Vitiligo Dataset\1-Vitiligo-Confetti-WM_v2.jpg,143.42
2-Surgery-Blister-grafting-before-WM_v2.jpg,Vitiligo Dataset\2-Surgery-Blister-grafting-before-WM_v2.jpg,105.44
2-Vitilig-MKTP-6m-post-op-WM_v2.jpg,Vitiligo Dataset\2-Vitilig-MKTP-6m-post-op-WM_v2.jpg,92.32
2-Vitiligo-MKTP-baseline-WM.jpg,Vitiligo Dataset\2-Vitiligo-MKTP-baseline-WM.jpg,104.31
2-Vitiligo-Tx-Phototherapy-2-WM_v2.jpg,Vitiligo Dataset\2-Vitiligo-Tx-Phototherapy-2-WM_v2.jpg,86.44
2-Vitiligo-Tx-Phototherapy-4-WM.jpg,Vitiligo Dataset\2-Vitiligo-Tx-Phototherapy-4-WM.jpg,63.63
a5e9641ec070062280c5d9b429532cdf.jpg,Vitiligo Dataset\a5e9641ec070062280c5d9b429532cdf.jpg,121.86
All-About-Vitiligo.jpg,Vitiligo Dataset\All-About-Vitiligo.jpg,18.99
beautiful-black-woman-with-vitiligo-skin-disorder-photo.jpg,Vitiligo Dataset\beautiful-black-woman-with-vitiligo-skin-disorder-photo.jpg,376.81
Can-vitiligo-turn-you-completely-white-750x450.jpg,Vitiligo Dataset\Can-vitiligo-turn-you-completely-white-750x450.jpg,40.4
ch1524.fig1_.jpg,Vitiligo Dataset\ch1524.fig1_.jpg,60.4
dataset-cover.png,Vitiligo Dataset\dataset-cover.png,575.38
gettyimages-1134948370-612x612.jpg,Vitiligo Dataset\gettyimages-1134948370-612x612.jpg,24.55
gettyimages-1141301536-612x612.jpg,Vitiligo Dataset\gettyimages-1141301536-612x612.jpg,35.71
gettyimages-1179997313-612x612.jpg,Vitiligo Dataset\gettyimages-1179997313-612x612.jpg,32.86
gettyimages-1269308282-612x612.jpg,Vitiligo Dataset\gettyimages-1269308282-612x612.jpg,27.16
gettyimages-1276617554-612x612.jpg,Vitiligo Dataset\gettyimages-1276617554-612x612.jpg,35.73
gettyimages-1290251882-612x612.jpg,Vitiligo Dataset\gettyimages-1290251882-612x612.jpg,29.55
gettyimages-1364097824-612x612.jpg,Vitiligo Dataset\gettyimages-1364097824-612x612.jpg,23.33
gettyimages-1382290431.jpg,Vitiligo Dataset\gettyimages-1382290431.jpg,21.35
gettyimages-1388464468-612x612.jpg,Vitiligo Dataset\gettyimages-1388464468-612x612.jpg,26.78
gettyimages-157480287-612x612.jpg,Vitiligo Dataset\gettyimages-157480287-612x612.jpg,18.51
HoustonSkin_Internal_Vitiligo.jpg,Vitiligo Dataset\HoustonSkin_Internal_Vitiligo.jpg,898.61
ijdvl_2019_85_4_414_258289_f1.jpg,Vitiligo Dataset\ijdvl_2019_85_4_414_258289_f1.jpg,755.19
iStock-1332262928-1.jpg,Vitiligo Dataset\iStock-1332262928-1.jpg,43.35
male-smiling-with-vitiligo-1200-628-facebook-1200x628.jpg,Vitiligo Dataset\male-smiling-with-vitiligo-1200-628-facebook-1200x628.jpg,81.33
Medical-Exam.png,Vitiligo Dataset\Medical-Exam.png,893.35
roi0.jpg,Vitiligo Dataset\roi0.jpg,15.4
