Filename,Path,Size (KB)
2701.jpg,Rashes Dataset\2701.jpg,25.97
2702.jpg,Rashes Dataset\2702.jpg,41.96
2703.jpg,Rashes Dataset\2703.jpg,34.76
2704.jpg,Rashes Dataset\2704.jpg,26.74
2706.jpg,Rashes Dataset\2706.jpg,33.96
2707.jpg,Rashes Dataset\2707.jpg,26.97
2708.jpg,Rashes Dataset\2708.jpg,35.87
2709.jpg,Rashes Dataset\2709.jpg,28.11
2710.jpg,Rashes Dataset\2710.jpg,26.72
2711.jpg,Rashes Dataset\2711.jpg,27.48
2712.jpg,Rashes Dataset\2712.jpg,21.21
2713.jpg,Rashes Dataset\2713.jpg,21.17
2714.jpg,Rashes Dataset\2714.jpg,31.83
2715.jpg,Rashes Dataset\2715.jpg,23.27
2716.jpg,Rashes Dataset\2716.jpg,35.97
2717.jpg,Rashes Dataset\2717.jpg,20.63
2718.jpg,Rashes Dataset\2718.jpg,27.18
2719.jpg,Rashes Dataset\2719.jpg,21.14
2720.jpg,Rashes Dataset\2720.jpg,26.69
2721.jpg,Rashes Dataset\2721.jpg,30.61
2722.jpg,Rashes Dataset\2722.jpg,22.55
2723.jpg,Rashes Dataset\2723.jpg,20.5
2724.jpg,Rashes Dataset\2724.jpg,21.83
2725.jpg,Rashes Dataset\2725.jpg,24.83
2726.jpg,Rashes Dataset\2726.jpg,44.96
2727.jpg,Rashes Dataset\2727.jpg,38.74
2728.jpg,Rashes Dataset\2728.jpg,45.27
3115.jpg,Rashes Dataset\3115.jpg,49.6
3116.jpg,Rashes Dataset\3116.jpg,46.56
3117.jpg,Rashes Dataset\3117.jpg,52.75
3118.jpg,Rashes Dataset\3118.jpg,39.6
3119.jpg,Rashes Dataset\3119.jpg,35.5
3120.jpg,Rashes Dataset\3120.jpg,32.27
3121.jpg,Rashes Dataset\3121.jpg,32.43
3122.jpg,Rashes Dataset\3122.jpg,38.02
3123.jpg,Rashes Dataset\3123.jpg,60.47
3124.jpg,Rashes Dataset\3124.jpg,38.69
3125.jpg,Rashes Dataset\3125.jpg,76.41
3126.jpg,Rashes Dataset\3126.jpg,41.44
ac-em.jpg,Rashes Dataset\ac-em.jpg,64.77
ac-ten.jpg,Rashes Dataset\ac-ten.jpg,48.33
acd-plaster.jpg,Rashes Dataset\acd-plaster.jpg,72.13
acne-urticata-1.jpg,Rashes Dataset\acne-urticata-1.jpg,18.15
acne-urticata-2.jpg,Rashes Dataset\acne-urticata-2.jpg,22.37
